TIME,GEO,CITIZEN,SEX,AGE,ASYL_APP,UNIT,Value,Flag and Footnotes
2009,Austria,Extra-EU28,Total,Total,First time applicant,Person,0,
2010,Austria,Extra-EU28,Total,Total,First time applicant,Person,0,
2011,Austria,Extra-EU28,Total,Total,First time applicant,Person,0,
2012,Austria,Extra-EU28,Total,Total,First time applicant,Person,0,
2013,Austria,Extra-EU28,Total,Total,First time applicant,Person,0,
2014,Austria,Extra-EU28,Total,Total,First time applicant,Person,"25,675",
2015,Austria,Extra-EU28,Total,Total,First time applicant,Person,"85,505",
2016,Austria,Extra-EU28,Total,Total,First time applicant,Person,"39,875",
2017,Austria,Extra-EU28,Total,Total,First time applicant,Person,"22,455",
2018,Austria,Extra-EU28,Total,Total,First time applicant,Person,"11,580",
2009,Belgium,Extra-EU28,Total,Total,First time applicant,Person,"16,595",
2010,Belgium,Extra-EU28,Total,Total,First time applicant,Person,"21,565",
2011,Belgium,Extra-EU28,Total,Total,First time applicant,Person,"25,355",
2012,Belgium,Extra-EU28,Total,Total,First time applicant,Person,"18,335",
2013,Belgium,Extra-EU28,Total,Total,First time applicant,Person,"11,965",
2014,Belgium,Extra-EU28,Total,Total,First time applicant,Person,"14,045",
2015,Belgium,Extra-EU28,Total,Total,First time applicant,Person,"38,990",
2016,Belgium,Extra-EU28,Total,Total,First time applicant,Person,"14,250",
2017,Belgium,Extra-EU28,Total,Total,First time applicant,Person,"14,035",
2018,Belgium,Extra-EU28,Total,Total,First time applicant,Person,"18,130",
2009,Bulgaria,Extra-EU28,Total,Total,First time applicant,Person,0,
2010,Bulgaria,Extra-EU28,Total,Total,First time applicant,Person,0,
2011,Bulgaria,Extra-EU28,Total,Total,First time applicant,Person,705,
2012,Bulgaria,Extra-EU28,Total,Total,First time applicant,Person,"1,230",
2013,Bulgaria,Extra-EU28,Total,Total,First time applicant,Person,"6,980",
2014,Bulgaria,Extra-EU28,Total,Total,First time applicant,Person,"10,805",
2015,Bulgaria,Extra-EU28,Total,Total,First time applicant,Person,"20,160",
2016,Bulgaria,Extra-EU28,Total,Total,First time applicant,Person,"18,990",
2017,Bulgaria,Extra-EU28,Total,Total,First time applicant,Person,"3,470",
2018,Bulgaria,Extra-EU28,Total,Total,First time applicant,Person,"2,465",
2009,Croatia,Extra-EU28,Total,Total,First time applicant,Person,0,
2010,Croatia,Extra-EU28,Total,Total,First time applicant,Person,0,
2011,Croatia,Extra-EU28,Total,Total,First time applicant,Person,0,
2012,Croatia,Extra-EU28,Total,Total,First time applicant,Person,0,
2013,Croatia,Extra-EU28,Total,Total,First time applicant,Person,"1,045",
2014,Croatia,Extra-EU28,Total,Total,First time applicant,Person,380,
2015,Croatia,Extra-EU28,Total,Total,First time applicant,Person,140,
2016,Croatia,Extra-EU28,Total,Total,First time applicant,Person,"2,150",
2017,Croatia,Extra-EU28,Total,Total,First time applicant,Person,880,
2018,Croatia,Extra-EU28,Total,Total,First time applicant,Person,675,
2009,Cyprus,Extra-EU28,Total,Total,First time applicant,Person,"3,200",
2010,Cyprus,Extra-EU28,Total,Total,First time applicant,Person,"2,835",
2011,Cyprus,Extra-EU28,Total,Total,First time applicant,Person,"1,745",
2012,Cyprus,Extra-EU28,Total,Total,First time applicant,Person,"1,590",
2013,Cyprus,Extra-EU28,Total,Total,First time applicant,Person,"1,150",
2014,Cyprus,Extra-EU28,Total,Total,First time applicant,Person,"1,480",
2015,Cyprus,Extra-EU28,Total,Total,First time applicant,Person,"2,105",
2016,Cyprus,Extra-EU28,Total,Total,First time applicant,Person,"2,840",
2017,Cyprus,Extra-EU28,Total,Total,First time applicant,Person,"4,475",
2018,Cyprus,Extra-EU28,Total,Total,First time applicant,Person,"7,610",
2009,Czechia,Extra-EU28,Total,Total,First time applicant,Person,620,
2010,Czechia,Extra-EU28,Total,Total,First time applicant,Person,380,
2011,Czechia,Extra-EU28,Total,Total,First time applicant,Person,485,
2012,Czechia,Extra-EU28,Total,Total,First time applicant,Person,505,
2013,Czechia,Extra-EU28,Total,Total,First time applicant,Person,490,
2014,Czechia,Extra-EU28,Total,Total,First time applicant,Person,905,
2015,Czechia,Extra-EU28,Total,Total,First time applicant,Person,"1,235",
2016,Czechia,Extra-EU28,Total,Total,First time applicant,Person,"1,200",
2017,Czechia,Extra-EU28,Total,Total,First time applicant,Person,"1,140",
2018,Czechia,Extra-EU28,Total,Total,First time applicant,Person,"1,350",
2009,Denmark,Extra-EU28,Total,Total,First time applicant,Person,"3,720",
2010,Denmark,Extra-EU28,Total,Total,First time applicant,Person,"5,065",
2011,Denmark,Extra-EU28,Total,Total,First time applicant,Person,"3,945",
2012,Denmark,Extra-EU28,Total,Total,First time applicant,Person,"6,045",
2013,Denmark,Extra-EU28,Total,Total,First time applicant,Person,"7,170",
2014,Denmark,Extra-EU28,Total,Total,First time applicant,Person,"14,535",
2015,Denmark,Extra-EU28,Total,Total,First time applicant,Person,"20,825",
2016,Denmark,Extra-EU28,Total,Total,First time applicant,Person,"6,055",
2017,Denmark,Extra-EU28,Total,Total,First time applicant,Person,"3,125",
2018,Denmark,Extra-EU28,Total,Total,First time applicant,Person,"3,465",
2009,Estonia,Extra-EU28,Total,Total,First time applicant,Person,35,
2010,Estonia,Extra-EU28,Total,Total,First time applicant,Person,30,
2011,Estonia,Extra-EU28,Total,Total,First time applicant,Person,65,
2012,Estonia,Extra-EU28,Total,Total,First time applicant,Person,75,
2013,Estonia,Extra-EU28,Total,Total,First time applicant,Person,95,
2014,Estonia,Extra-EU28,Total,Total,First time applicant,Person,145,
2015,Estonia,Extra-EU28,Total,Total,First time applicant,Person,225,
2016,Estonia,Extra-EU28,Total,Total,First time applicant,Person,150,
2017,Estonia,Extra-EU28,Total,Total,First time applicant,Person,180,
2018,Estonia,Extra-EU28,Total,Total,First time applicant,Person,90,
2009,European Union - 28 countries,Extra-EU28,Total,Total,First time applicant,Person,"195,840",
2010,European Union - 28 countries,Extra-EU28,Total,Total,First time applicant,Person,"206,880",
2011,European Union - 28 countries,Extra-EU28,Total,Total,First time applicant,Person,"263,135",d
2012,European Union - 28 countries,Extra-EU28,Total,Total,First time applicant,Person,"278,280",
2013,European Union - 28 countries,Extra-EU28,Total,Total,First time applicant,Person,"367,825",
2014,European Union - 28 countries,Extra-EU28,Total,Total,First time applicant,Person,"562,680",
2015,European Union - 28 countries,Extra-EU28,Total,Total,First time applicant,Person,"1,256,610",
2016,European Union - 28 countries,Extra-EU28,Total,Total,First time applicant,Person,"1,206,045",
2017,European Union - 28 countries,Extra-EU28,Total,Total,First time applicant,Person,"654,610",
2018,European Union - 28 countries,Extra-EU28,Total,Total,First time applicant,Person,"586,235",
2009,Finland,Extra-EU28,Total,Total,First time applicant,Person,0,
2010,Finland,Extra-EU28,Total,Total,First time applicant,Person,0,
